geGloss|geSentence|viSentence
AB SONNTAG PUNKT WOLKE MEHR MILD KOMMEN MOEGLICH|und von dort breitet sich am sonntag mildere luft aus|Và từ đó, không khí nhẹ hơn vào Chủ nhật
REGEN KOENNEN GEFRIEREN ODER SCHNEE|dabei fällt zum teil gefrierender regen oder schnee|Một số cơn mưa hoặc tuyết đóng băng
MONTAG NEGALP KEIN FROST WETTER WECHSELHAFT|am montag dann frostfrei und wechselhaft|Vào thứ Hai thì Frost -Free và thay đổi có thể thay đổi
JETZT WETTER WIE AUSSEHEN MORGEN SONNTAG FUENF ZWANZIG JULI|und nun die wettervorhersage für morgen sonntag den fünfundzwanzigsten juli|Và bây giờ dự báo thời tiết cho ngày mai Chủ nhật
PUNKT OST ZWISCHEN RUSSLAND IN KOMMEND HEISS DURCH DARUM ICH KOMMEN KUEHL KOMMEN|während der westen russlands in den kommenden tagen eine extreme hitzewelle erlebt strömt relativ kühle luft aus nordwesten nach deutschland|Trong phía tây nước Nga trong những ngày tới, một đợt nắng nóng cực độ đang trải qua không khí tương đối mát mẻ từ Tây Bắc đến Đức
UNWETTER IN KOMMEND NICHT MEHR ABER UMSTAENDLICH BLEIBEN|mit unwettern muss vorerst nicht mehr gerechnet werden leicht unbeständig aber bleibt es|Hiện tại, nó không còn phải được mong đợi với những cơn bão hơi không ổn định nhưng nó vẫn còn
OST SUEDOST ZONE HEUTE NACHT STARK BEWOELKT TEIL REGEN|im osten und südlich der donau ist es heute nacht meist stark bewölkt hier und da regnet es noch|Ở phía đông và phía nam của sông Danube, trời thường rất nhiều mây ở đây và ở đó vẫn còn mưa
PUNKT KLAR|sonst klart es mancherorts auf|Nếu không nó sẽ rõ ràng ở một số nơi
TAG SONNE WOLKE OST REGEN|am tag mal sonne mal wolken ganz im osten regnet es stellenweise auch im westen werden die wolken dichter dann regnet es auch dort hier und da|Vào ngày mặt trời đôi khi những đám mây ở Viễn Đông trời mưa ở những nơi ở phía tây, những đám mây cũng đang mưa ở đây và ở đó
WIND SCHWACH NORD FRISCH OST STURM WEHEN|der wind weht schwach bis mäßig im norden frisch an der ostsee stürmische böen|Gió thổi yếu đến mức vừa phải ở miền Bắc những cơn gió mới đầy bão trên Biển Baltic
NACHT SECHS ELF NORD SIEBZEHN|heute nacht sechs bis elf grad an der ostsee siebzehn grad|Tối nay sáu đến mười một độ trên biển Baltic mười bảy độ
TAG SIEBZEHN REGION BAYERN BIS FUENF ZWANZIG FRANKFURT|am tag siebzehn grad in teilen bayerns und bis vierundzwanzig grad in frankfurt am main|Vào ngày mười bảy độ ở các phần của Bavaria và lên đến hai mươi độ ở Frankfurt Am Main
MONTAG WOLKE SCHAUER BISSCHEN GEWITTER NORDOST FREUNDLICH|am montag viele wolken einige schauer einzelne kurze gewitter im nordosten ist es am freundlichsten|Vào thứ Hai, nhiều đám mây, một số cơn mưa giông ngắn cá nhân ở Đông Bắc là tốt nhất
AUCH MITTWOCH MISCHUNG SONNTAG SONNE WOLKE BISSCHEN SCHAUER|auch am mittwoch eine mischung aus sonne und wolken hier und da fallen schauer|Cũng vào thứ Tư, một hỗn hợp của mặt trời và mây ở đây và có vòi hoa sen rơi
MEISTENS WOLKE HIMMEL VON MEER BIS OST EUROPA KOMMEN|eine ausgedehnte hochdruckzone reicht vom atlantik bis nach osteuropa|Vùng áp suất cao rộng từ Đại Tây Dương đến Đông Âu
ANFANG WOCHE GUT WINTER VIEL SONNE BISSCHEN NEBEL HOCH NEBEL BISSCHEN NEBEL WIE HEUTE ABEND PUNKT NORD|sie sorgt auch noch zu beginn der kommenden woche für ruhiges winterwetter mit viel sonnenschein abseits einige nebel oder hochnebelfelder wie in der nacht im norden|Vào đầu tuần tiếp theo, nó cũng sẽ đảm bảo thời tiết mùa đông yên tĩnh với rất nhiều ánh nắng mặt trời cách xa một số sương mù hoặc những cánh đồng sương mù cao như ở phía bắc
SONST REGION KLAR REGION BISSCHEN NEBEL HOCH NEBEL|sonst verläuft die nacht klar teilweise aber auch nebel oder hochnebelfelder|Nếu không, đêm rõ ràng là một phần nhưng cũng có sương mù hoặc những cánh đồng sương mù cao
TAG NORD FAST PUNKT NEBEL SONST VIEL SONNE HABEN NEBEL MITTE REGION MEHR SONNE ALS SUED|am tag im norden fast überall trübes wetter sonst viel sonne abseits des nebels wobei sich die sonne in der mitte häufiger zeigt als im süden|Vào ngày ở miền Bắc gần như ở khắp mọi nơi, thời tiết khác cách với nhiều mặt trời khỏi sương mù, với mặt trời ở giữa thường xuyên hơn ở phía nam
DEUTSCH LAND BLEIBEN TROCKEN|deutschlandweit bleibt es trocken|Nó vẫn khô trên khắp nước Đức
WIND SCHWACH WEHEN VERSCHIEDEN DREHEN WEHEN|der wind weht meist nur schwach und kommt aus unterschiedlichen richtungen|Gió thường chỉ thổi yếu và đến từ các hướng khác nhau
HEUTE ABEND MINUS DREI MEER KOENNEN BIS MINUS FUENFZEHN SUEDOST PUNKT|heute nacht minus drei grad an der nordsee und bis minus fünfzehn grad im südosten|Tối nay trừ ba độ trên Biển Bắc và đến âm mười lăm độ ở Đông Nam
TAG MINUS FUENF DURCHGEHEND NEBEL PLUS DREI VIEL SONNE|am tag minus fünf grad bei dauernebel und plus drei grad bei viel sonnenschein|Vào ngày trừ năm độ với đòn bẩy vĩnh viễn và cộng với ba độ trong rất nhiều ánh nắng mặt trời
DIENSTAG NORD VIEL NEBEL SONST KEIN NEG NEBEL VIEL SONNE|am dienstag im norden vielerorts trübes wetter sonst wo kein nebel ist viel sonnenschein|Vào thứ ba ở phía bắc ở nhiều nơi có mây thời tiết nếu không có sương mù, có rất nhiều ánh nắng mặt trời
ABEND NORDWEST MEHR REGEN|am abend kommt im nordwesten regen auf|Vào buổi tối có mưa ở Tây Bắc
MITTWOCH UND DONNERSTAG NORD MITTE REGION VIEL WOLKE MOEGLICH BISSCHEN REGEN BISSCHEN SCHNEE BISSCHEN VORSICHT GLATT|am mittwoch und auch am donnerstag im norden und in der mitte viele wolken die etwas regen oder schnee bringen vorsicht glätte|Vào thứ Tư và vào thứ năm ở miền Bắc và ở giữa, nhiều đám mây mang lại sự trơn tru thận trọng
SUED MEHR RUHIG BISSCHEN TEIL AUCH FREUNDLICH WETTER SONNE GUT|im süden weiter ruhiges teilweise freundliches wetter|Ở miền Nam tiếp tục yên tĩnh, đôi khi là thời tiết thân thiện
WETTER WIE AUSSEHEN MORGEN MONTAG SIEBTE JUNI|und nun die wettervorhersage für morgen montag den siebenten juni|Và bây giờ dự báo thời tiết cho ngày mai thứ Hai ngày thứ bảy tháng 6
WOLKE TIEF HOLLAND KOMMEN SCHWEDEN PUNKT NACHT KOMMEN|wolken des tiefs das von den niederlanden nach südschweden zieht überqueren heute nacht weite teile deutschlands|Những đám mây sâu thẳm mà từ Hà Lan đến miền nam Thụy Điển kéo các phần lớn của Đức tối nay tối nay
DESHALB REGEN GEWITTER|sie bringen teilweise heftige gewitter|Đôi khi chúng mang đến những cơn giông bão dữ
DANN KUEHL WEHEN BIS MORGEN RUHIG|danach strömt kühlere luft zu uns und bis morgen beruhigt sich das wetter|Sau đó, không khí mát hơn chảy đến chúng tôi và thời tiết bình tĩnh lại cho đến ngày mai
SCHWUEL|dann wird es wieder schwüler|Sau đó, nó trở lại
MORGEN ZUERST FLUSS NORD BISSCHEN GEWITTER DABEI|morgen regnet es zunächst südlich der donau an der oder und im norden hier und da einzelne gewitter sind dabei|Ngày mai trời mưa ở phía nam sông Danube trên Oder và ở phía bắc ở đây và có những cơn giông cá nhân
SPAETER FLUSS FREUNDLICH ZWISCHEN|später ist es zwischen oberrhein und spree recht freundlich|Sau đó, nó khá thân thiện giữa Oberrhein và Spree
SUED SCHWACH NORD FRISCH WIND PUNKT OST STURM|am tag im süden schwacher in der mitte mäßiger im norden frischer wind an der ostsee stürmische böen|Một ngày vào giữa ngày ở giữa phía nam, gió mới trên những cơn bão bão ở Biển Baltic ở phía bắc
NACHT SIEBZEHN REGION ZEHN REGION|heute nacht siebzehn grad in der lausitz zehn grad in der eifel|Tối nay mười bảy độ trong Lausitz mười độ trong Eifel
TAG FUENFZEHN NORD SECHS ZWANZIG REGION|am tag fünfzehn grad an der nordsee und sechsundzwanzig grad im breisgau|Vào ngày mười lăm độ trên Biển Bắc và hai mươi độ ở Breisgau
DIENSTAG OST FREUNDLICH PUNKT SCHAUER GEWITTER|am dienstag richtung osten längere freundliche abschnitte daneben schauer und gewitter|Vào thứ ba đến phía đông các phần thân thiện dài hơn bên cạnh nó tắm và giông bão
MITTWOCH SUEDOST SONNE TEILWEISE GEWITTER|am mittwoch in der südosthälfte längere sonnige abschnitte dabei einzelne gewitterschauer|Vào thứ Tư ở nửa phía đông nam, các phần đầy nắng dài
DONNERSTAG OST SONNE WEST SCHAUER GEWITTER|am donnerstag in der osthälfte viel sonne in der westhälfte schauer und gewitter|Vào thứ năm ở nửa phía đông, rất nhiều mặt trời ở nửa phía tây của mưa rào và giông bão
GUT ABEND LIEB ZUSCHAUER|guten abend liebe zuschauer|Chào buổi tối khán giả thân yêu
NORD REGION HEUTE T MEER ABER T ACH KUEHL ACH|auch an der ostsee gab es heute noch mal richtiges traumwetter aber zum träumen war es doch ein bisschen kühl direkt am wasser|Ngoài ra trên Biển Baltic có một thời tiết trong mơ thực sự ngày hôm nay nhưng nó hơi mát ngay trên mặt nước để mơ
DANN DOCH MEHR SINKEN MORGEN MERKEN SCHON OST REGION|und es wird leider noch ein bisschen kühler das merkt man morgen schon an der ostseeküste|Và thật không may, nó sẽ mát hơn một chút khi bạn có thể thấy vào ngày mai trên bờ biển Baltic
WETTER JETZT UMWANDELN WEHEN MEHR KUEHL SECHS PUNKT|der wind dreht auf nordwest und damit kommt kühlere luft sechs grad morgen|Gió quay trên Tây Bắc và không khí mát hơn đến sáu độ vào ngày mai
SUEDWEST DANN FRUEH SOMMER EINS ZWANZIG GRAD|im südwesten dagegen nochmal richtig ja frühsommerlich warm mit einundzwanzig grad|Mặt khác, ở phía tây nam, một lần nữa thực sự ấm áp với đầu mùa hè với hai mươi độ
HEUTE NACHT NORDWEST DREI ZWISCHEN SECHS SUED PUNKT NOCHEINMAL LEICHT FROST|heute nacht drei bis sechs grad im norden und westen leichten frost kann es hier im süden nochmal geben|Tối nay ba đến sáu độ ở phía bắc và phía tây ánh sáng có thể ở đó một lần nữa ở miền Nam
PUNKT BERG NUR STERN KOENNEN SEHEN PUNKT ABER NORD SCHON WOLKE|besonders am alpenrand da haben wir den sternenklaren himmel während über norddeutschland heute nacht schon ein paar wolkenfelder hinweg ziehen|Đặc biệt là trên rìa của dãy Alps.
MORGEN MEISTENS NACHMITTAG WOLKE SHMV DANN PUNKT REGEN|die werden sich morgen verdichten besonders in den nachmittagsstunden ziehen die dann über schleswig holstein und mecklenburg vorpommern hinterlassen dann auch ein paar regentropfen|Ngày mai họ sẽ được cô đọng, đặc biệt là vào giờ chiều, sau đó rời khỏi Schleswig Holstein và Mecklenburg Western Pomerania sau đó cũng có một vài hạt mưa
AUCH WIND MEHR KRAEFTIG WEHEN|und der wind wird auch kräftiger und weht aus nordwesten|Và gió cũng trở nên mạnh mẽ hơn và thổi từ Tây Bắc
MITTE SUED BLEIBEN SCHWACH WIND SCHWACH FRUEHLING WECHSELHAFT SONNE WOLKE WECHSELHAFT|ja in der mitte und im süden da bleibt es bei diesem schönen windschwachen frühlingswetter also das wechseln meist sonne und wolken|Có ở giữa và ở phía nam, thời tiết mùa xuân tuyệt đẹp này thường là sự thay đổi của mặt trời và những đám mây
TEMPERATUR SUED SECHSZEHN MAXIMAL EINS ZWANZIG GRAD WIE HEUTE|und die letztendlich die temperaturen dazu dann recht hoch im süden sechzehn bis einundzwanzig grad ähnlich wie heute|Và cuối cùng là nhiệt độ cho mức này khá cao ở phía nam đến mười sáu đến hai mươi độ tương tự như ngày nay
GUT ABEND LIEB ZUSCHAUER POSS EUCH|guten abend liebe zuschauer|Chào buổi tối khán giả thân yêu
IN KOMMEND ERWARTEN EXTREM REGEN BIS FREITAG FRUEH WAHRSCHEINLICH|wir erwarten ja extreme regenmengen in den nächsten sechsunddreißig stunden etwa bis freitag früh|Chúng tôi mong đợi số lượng mưa cực độ trong ba mươi giờ tiếp theo vào sáng thứ Sáu
DEUTSCH LAND ZWISCHEN ZWANZIG BIS SECHZIG LITER EINS QUADRATMETER ENORM VIEL BESONDERS REGION AUCH BAYERN PUNKT OST REGION REGEN|da fallen durchweg in deutschland zwischen zwanzig und sechzig liter auf den quadratmeter enorme mengen schwerpunkt vor allen dingen nordrhein westfalen aber auch das östliche bayern dabei|Ở Đức trong khoảng từ hai mươi đến sáu mươi lít, có rất nhiều sự tập trung vào đồng hồ vuông
KOMMEN MILD LUFT ZEHN ZWISCHEN FUENFZEHN GRAD|und dieser regen der bringt dann auch milde luft mit also zehn bis fünfzehn grad haben wir in den nächsten tagen|Và cơn mưa này mang lại không khí nhẹ với mười đến mười lăm độ chúng ta có trong vài ngày tới
WINTER VERSCHIEBEN NAECHSTE IN KOMMEND MITTE ZURUECK WINTER|der winter ist weit abgeschlagen im norden mitte nächster woche kommt er dann aber doch wieder zurück|Mùa đông ở phía sau ở phía bắc vào giữa tuần tới, nó sẽ trở lại một lần nữa
HEUTE NACHT MEISTENS REGEN SAUER LAND AUCH BAYERN PUNKT|also heute nacht wird es schon kräftig regnen vor allen dingen in nordrhein westfalen im sauerland aber auch in bayern|Vì vậy, tối nay trời sẽ mưa lớn ở Bắc Rhine -Westphalia ở Sauerland mà còn ở Bavaria
IM VERLAUF NIEDERSACHSEN KOMMEN OST NEG KOMMEN KAUM VIELLEICHT PUNKT HEUTE NACHT SCHNEE SCHNEIEN BISSCHEN|später zieht der regen nach niedersachsen die ostseeküste erreicht er kaum da kann es vielleicht auch noch in der zweiten nachthälfte ein paar schneeflocken so in vorpommern geben|Sau đó, cơn mưa chuyển sang hạ thấp Sachsen Bờ biển Baltic, anh khó có thể đến đó vào nửa sau của đêm có thể có một vài bông tuyết ở phía tây Pomerania
ABER NACHT REGION FROST NEG HABEN NORDOST EINS GRAD SIEBEN GRAD|aber die nacht bleibt fast überall frostfrei da sind es im nordosten ein grad sieben grad im westen|Nhưng ban đêm vẫn là băng giá không có ở hầu hết mọi nơi, có một mức độ bảy độ ở phía tây ở phía đông bắc
MORGEN MILD ENORM MILD|wir erleben dann morgen einen milden extrem milden tag im westen|Chúng ta sẽ trải nghiệm một ngày cực kỳ ôn hòa ở phương Tây vào ngày mai
NORDOST KUEHL PUNKT DREI GRAD PUNKT ZWOELF GRAD|im nordosten da bleibt es noch ein bisschen kühler mit drei grad aber zwölf grad am rhein|Ở phía đông bắc, nó vẫn mát hơn một chút với ba độ nhưng mười hai độ trên sông Rhine
SCHOEN NEGALP AUCH|doch genießen kann man die auch nicht|Nhưng bạn cũng không thể tận hưởng chúng
REGEN MEISTENS NORD MITTAG AUCH PUNKT REGEN|es regnet ja schließlich auch noch den ganzen tag recht kräftig in deutschland nachmittags auch an der ostsee|Rốt cuộc, trời cũng mưa cả ngày ở Đức vào buổi chiều trên biển Baltic
DANN SUEDWEST NACH MITTAG VERSCHWINDEN|ja dann wird wohl der regen am nachmittag im südwesten schon wieder etwas nachlassen|Vâng, sau đó mưa có thể sẽ buông xuống vào buổi chiều ở Tây Nam
WIND SUED WEHEN KALT|der wind allerdings nicht der ist vor allem hier südlich des mains aus dem südwesten recht kräftig|Gió, tuy nhiên, không phải là, đặc biệt là ở phía nam của chính từ phía tây nam
IM VERLAUF IM VERLAUF REGEN NUR SAMSTAG SONNTAG PUNKT NORD|ja es regnet weiter allerdings nur noch in norddeutschland am wochenende|Vâng, tuy nhiên, nó chỉ mưa ở miền bắc nước Đức vào cuối tuần
SUED SCHON MEHR FREUNDLICH SONST SONNE SCHEINEN|in süddeutschland sieht es dann schon wieder ein bisschen freundlicher aus und die sonne kämpft sich so langsam nach norden vor|Ở miền nam nước Đức, nó trông có vẻ thân thiện hơn một chút và mặt trời đang dần chiến đấu về phía bắc
SCHOEN ABEND POSS EUCH MACHEN GUT POSS EUCH|ich wünsche ihnen noch einen schönen abend und machen sie es gut|Tôi chúc bạn một buổi tối tốt đẹp và làm tốt
MORGEN WETTER WIE AUSSEHEN DIENSTAG ELFTE JANUAR|und nun die wettervorhersage für morgen dienstag den elften januar|Và bây giờ dự báo thời tiết cho ngày mai thứ ba, ngày thứ mười một
MORGEN HOCH PUNKT KOMMEN STARK STROEMEN|morgen bestimmt das tief über der nordsee unser wetter|Ngày mai quyết định thời tiết của chúng ta sâu trên Biển Bắc
OST MORGEN SONNE WOLKE BESONDERS SUEDOST NEBEL FELD|am tag in der osthälfte sonne und wolken vor allem im südosten hält sich zäher nebel|Vào ngày ở nửa phía đông của mặt trời và những đám mây, đặc biệt là ở phía đông nam
